date,source_country,destination,active_ingredient,mrl_mg_per_kg,detected_mg_per_kg,severity,notes
2015-04-12,India,EU,chlorpyrifos,0.01,0.18,serious,PLACEHOLDER - refresh from RASFF portal
2015-06-22,India,EU,chlorpyrifos,0.01,0.12,serious,PLACEHOLDER
2016-03-10,India,EU,chlorpyrifos,0.01,0.25,serious,PLACEHOLDER
2017-04-30,India,EU,carbendazim,0.5,0.85,not_serious,PLACEHOLDER
2017-05-08,India,EU,carbendazim,0.5,0.72,not_serious,PLACEHOLDER
2018-04-15,India,EU,imidacloprid,0.05,0.21,serious,PLACEHOLDER
2018-05-20,India,EU,imidacloprid,0.05,0.18,serious,PLACEHOLDER
2018-06-11,India,Japan,imidacloprid,0.5,0.92,not_serious,PLACEHOLDER
2019-03-08,India,EU,acephate,0.01,0.15,serious,PLACEHOLDER - not in CIB&RC mango list
2019-04-22,India,EU,acephate,0.01,0.21,serious,PLACEHOLDER
2019-05-05,India,EU,thiamethoxam,0.05,0.10,not_serious,PLACEHOLDER
2020-03-30,India,EU,chlorpyrifos,0.01,0.31,serious,PLACEHOLDER
2020-05-14,India,EU,buprofezin,0.7,1.20,not_serious,PLACEHOLDER
2020-06-02,India,Japan,carbendazim,0.5,0.65,not_serious,PLACEHOLDER
2021-04-08,India,EU,profenofos,0.01,0.09,serious,PLACEHOLDER - not in CIB&RC mango list
2021-04-22,India,EU,chlorpyrifos,0.01,0.14,serious,PLACEHOLDER
2021-05-15,India,US,carbendazim,0.5,0.78,not_serious,PLACEHOLDER
2022-03-20,India,EU,acetamiprid,0.5,0.62,not_serious,PLACEHOLDER
2022-04-12,India,EU,imidacloprid,0.05,0.11,serious,PLACEHOLDER
2023-04-05,India,EU,chlorpyrifos,0.01,0.22,serious,PLACEHOLDER
2023-05-18,India,EU,carbendazim,0.5,0.95,not_serious,PLACEHOLDER
2024-04-12,India,EU,buprofezin,0.7,1.35,not_serious,PLACEHOLDER
