active_ingredient,formulation,dose_per_liter_water,target_pest_class,phi_days,registration_status,notes
hexaconazole,5 EC,2 ml/L,anthracnose,30,registered,PLACEHOLDER - refresh from cibrc.nic.in
hexaconazole,5 EC,2 ml/L,powdery_mildew,30,registered,PLACEHOLDER - off-label but effective
carbendazim,50 WP,1 g/L,anthracnose,40,registered,PLACEHOLDER
carbendazim,50 WP,1 g/L,powdery_mildew,40,registered,PLACEHOLDER
mancozeb,75 WP,2 g/L,anthracnose,15,registered,PLACEHOLDER - also active vs powdery mildew
mancozeb,75 WP,2 g/L,powdery_mildew,15,registered,PLACEHOLDER
copper_oxychloride,50 WP,3 g/L,anthracnose,7,registered,PLACEHOLDER
azoxystrobin,23 SC,1 ml/L,anthracnose,30,registered,PLACEHOLDER
azoxystrobin,23 SC,1 ml/L,powdery_mildew,30,registered,PLACEHOLDER
difenoconazole,25 EC,0.5 ml/L,anthracnose,30,registered,PLACEHOLDER
difenoconazole,25 EC,0.5 ml/L,powdery_mildew,30,registered,PLACEHOLDER
sulphur,80 WP,3 g/L,powdery_mildew,7,registered,PLACEHOLDER
wettable_sulphur,80 WG,2 g/L,powdery_mildew,7,registered,PLACEHOLDER
penconazole,10 EC,0.5 ml/L,powdery_mildew,30,registered,PLACEHOLDER
tebuconazole,25 EC,1 ml/L,powdery_mildew,30,registered,PLACEHOLDER
tebuconazole,25 EC,1 ml/L,anthracnose,30,registered,PLACEHOLDER
imidacloprid,17.8 SL,0.5 ml/L,hopper,40,registered,PLACEHOLDER
thiamethoxam,25 WG,0.2 g/L,hopper,40,registered,PLACEHOLDER
acetamiprid,20 SP,0.2 g/L,hopper,30,registered,PLACEHOLDER
buprofezin,25 SC,1 ml/L,hopper,30,registered,PLACEHOLDER
lambda_cyhalothrin,5 EC,0.5 ml/L,hopper,21,registered,PLACEHOLDER
deltamethrin,2.8 EC,1 ml/L,hopper,21,registered,PLACEHOLDER
spinosad,45 SC,0.3 ml/L,thrips,7,registered,PLACEHOLDER
spinosad,45 SC,0.3 ml/L,hopper,7,registered,PLACEHOLDER
flubendiamide,39.35 SC,0.2 ml/L,thrips,21,registered,PLACEHOLDER
chlorpyrifos,20 EC,2 ml/L,hopper,30,registered,PLACEHOLDER - restricted in EU markets
neem_oil,1500 ppm,5 ml/L,powdery_mildew,1,registered,PLACEHOLDER - organic
neem_oil,1500 ppm,5 ml/L,hopper,1,registered,PLACEHOLDER - organic
neem_oil,1500 ppm,5 ml/L,anthracnose,1,registered,PLACEHOLDER - organic, mild efficacy
propiconazole,25 EC,1 ml/L,anthracnose,30,registered,PLACEHOLDER
propiconazole,25 EC,1 ml/L,powdery_mildew,30,registered,PLACEHOLDER
